Date,Temperature
01/05/2024 00:01:07,32.1
01/05/2024 00:11:08,31.9
01/05/2024 00:21:07,32
01/05/2024 00:31:06,31.9
01/05/2024 00:41:06,32
01/05/2024 00:51:05,32
01/05/2024 01:01:03,31.9
01/05/2024 01:11:03,31.9
01/05/2024 01:21:04,31.9
01/05/2024 01:31:03,32
01/05/2024 01:41:02,32
01/05/2024 01:51:02,32
01/05/2024 02:01:02,32.6
01/05/2024 02:11:02,32.8
01/05/2024 02:21:02,32.3
01/05/2024 02:31:01,32.3
01/05/2024 02:40:59,32.1
01/05/2024 02:51:00,32.2
01/05/2024 03:00:59,32.9
01/05/2024 03:10:58,32.7
01/05/2024 03:20:57,32.3
01/05/2024 03:30:57,32.3
01/05/2024 03:40:57,32.3
01/05/2024 03:50:56,32.3
01/05/2024 04:00:56,33.3
01/05/2024 04:10:55,32.5
01/05/2024 04:20:54,32.5
01/05/2024 04:30:54,32.4
01/05/2024 04:40:53,32.4
01/05/2024 04:50:53,33.2
01/05/2024 05:00:52,32.9
01/05/2024 05:10:52,32.6
01/05/2024 05:20:50,32.5
01/05/2024 05:30:50,32.6
01/05/2024 05:40:49,32.5
01/05/2024 05:50:49,33.3
01/05/2024 06:00:49,32.8
01/05/2024 06:10:48,32.6
01/05/2024 06:20:47,32.6
01/05/2024 06:30:46,32.6
01/05/2024 06:40:46,32.5
01/05/2024 06:50:45,33.3
01/05/2024 07:00:45,32.7
01/05/2024 07:10:44,32.7
01/05/2024 07:20:44,32.7
01/05/2024 07:30:44,32.6
01/05/2024 07:40:43,33.3
01/05/2024 07:50:43,33
01/05/2024 08:00:43,32.8
01/05/2024 08:10:42,32.8
01/05/2024 08:20:43,32.7
01/05/2024 08:30:42,32.7
01/05/2024 08:40:40,33.4
01/05/2024 08:50:40,32.9
01/05/2024 09:00:39,32.8
01/05/2024 09:10:40,32.8
01/05/2024 09:20:39,32.7
01/05/2024 09:30:38,33.5
01/05/2024 09:40:38,32.9
01/05/2024 09:50:39,32.8
01/05/2024 10:00:37,32.7
01/05/2024 10:10:38,32.7
01/05/2024 10:20:36,33.3
01/05/2024 10:30:35,33.6
01/05/2024 10:40:35,33.8
01/05/2024 10:50:35,33.3
01/05/2024 11:00:35,33
01/05/2024 11:10:33,32.9
01/05/2024 11:20:32,32.9
01/05/2024 11:30:32,32.9
01/05/2024 11:40:32,32.9
01/05/2024 11:50:32,32.9
01/05/2024 12:00:32,32.9
01/05/2024 12:10:31,32.9
01/05/2024 12:20:31,32.9
01/05/2024 12:30:31,32.9
01/05/2024 12:40:31,32.9
01/05/2024 12:50:30,32.9
01/05/2024 13:00:30,32.9
01/05/2024 13:10:29,32.9
01/05/2024 13:20:29,33.5
01/05/2024 13:30:28,33.3
01/05/2024 13:40:28,33
01/05/2024 13:50:28,33
01/05/2024 14:00:28,33
01/05/2024 14:10:26,33
01/05/2024 14:20:25,33.5
01/05/2024 14:30:26,33.4
01/05/2024 14:40:26,33.2
01/05/2024 14:50:26,33
01/05/2024 15:00:25,33
01/05/2024 15:10:25,33.1
01/05/2024 15:20:25,33.7
01/05/2024 15:30:23,34.1
01/05/2024 15:40:23,34.2
01/05/2024 15:50:22,33.8
01/05/2024 16:00:23,33.5
01/05/2024 16:10:24,33.4
01/05/2024 16:20:22,33.4
01/05/2024 16:30:22,33.3
01/05/2024 16:40:22,33.3
01/05/2024 16:50:22,33.4
01/05/2024 17:00:21,33.2
01/05/2024 17:10:21,33.2
01/05/2024 17:20:21,33.3
01/05/2024 17:30:21,33.2
01/05/2024 17:40:20,33.3
01/05/2024 17:50:20,33.2
01/05/2024 18:00:21,33.2
01/05/2024 18:10:20,33.2
01/05/2024 18:20:20,33.8
01/05/2024 18:30:19,34.1
01/05/2024 18:40:19,34.3
01/05/2024 18:50:19,33.9
01/05/2024 19:00:19,33.6
01/05/2024 19:10:19,33.5
01/05/2024 19:20:19,33.6
01/05/2024 19:30:19,33.5
01/05/2024 19:40:19,33.5
01/05/2024 19:50:18,33.5
01/05/2024 20:00:18,33.5
01/05/2024 20:10:18,33.6
01/05/2024 20:20:17,33.5
01/05/2024 20:30:17,33.6
01/05/2024 20:40:16,33.6
01/05/2024 20:50:16,33.5
01/05/2024 21:00:15,33.6
01/05/2024 21:10:15,33.6
01/05/2024 21:20:14,34
01/05/2024 21:30:14,34.2
01/05/2024 21:40:13,34.5
01/05/2024 21:50:12,34.2
01/05/2024 22:00:13,33.9
01/05/2024 22:10:12,33.7
01/05/2024 22:20:12,33.7
01/05/2024 22:30:12,33.7
01/05/2024 22:40:11,33.7
01/05/2024 22:50:11,33.6
01/05/2024 23:00:10,33.6
01/05/2024 23:10:09,33.5
01/05/2024 23:20:09,33.6
01/05/2024 23:30:09,33.5
01/05/2024 23:40:09,33.5
01/05/2024 23:50:08,33.5
02/05/2024 00:00:08,33.5
02/05/2024 00:10:08,33.5
02/05/2024 00:20:07,34.2
02/05/2024 00:30:07,34.4
02/05/2024 00:40:07,34.4
02/05/2024 00:50:06,34
02/05/2024 01:00:06,33.8
02/05/2024 01:10:06,33.7
02/05/2024 01:20:05,33.6
02/05/2024 01:30:05,33.6
02/05/2024 01:40:04,33.6
02/05/2024 01:50:04,33.6
02/05/2024 02:00:04,33.6
02/05/2024 02:10:04,33.5
02/05/2024 02:20:03,33.6
02/05/2024 02:30:03,33.7
02/05/2024 02:40:02,33.6
02/05/2024 02:50:02,33.6
02/05/2024 03:00:02,33.6
02/05/2024 03:10:02,33.6
02/05/2024 03:20:01,34.2
02/05/2024 03:30:00,33.8
02/05/2024 03:40:00,33.7
02/05/2024 03:50:00,33.7
02/05/2024 03:59:59,33.5
02/05/2024 04:09:59,34.1
02/05/2024 04:19:58,33.9
02/05/2024 04:29:58,33.7
02/05/2024 04:39:57,33.6
02/05/2024 04:49:57,33.5
02/05/2024 04:59:56,33.5
02/05/2024 05:09:56,34.3
02/05/2024 05:19:55,34.4
02/05/2024 05:29:54,34.4
02/05/2024 05:39:54,33.9
02/05/2024 05:49:54,33.7
02/05/2024 05:59:54,33.7
02/05/2024 06:09:53,33.7
02/05/2024 06:19:52,33.6
02/05/2024 06:29:52,33.7
02/05/2024 06:39:51,33.6
02/05/2024 06:49:51,33.6
02/05/2024 06:59:51,21.3
02/05/2024 07:09:51,20
02/05/2024 07:19:51,17
02/05/2024 07:29:51,14.7
02/05/2024 07:39:51,14.4
02/05/2024 07:49:51,13.6
02/05/2024 07:59:51,19.7
02/05/2024 08:09:50,19.9
02/05/2024 08:19:50,19.6
02/05/2024 08:29:50,16.9
02/05/2024 08:39:49,17.2
02/05/2024 08:49:48,17.1
02/05/2024 08:59:48,16.8
02/05/2024 09:09:48,16.9
02/05/2024 09:19:47,14.7
02/05/2024 09:29:47,15.8
02/05/2024 09:39:47,14.9
02/05/2024 09:49:47,14.5
02/05/2024 09:59:47,14.6
02/05/2024 10:09:46,14.4
02/05/2024 10:19:46,14.6
02/05/2024 10:29:45,14.5
02/05/2024 10:39:45,14.2
02/05/2024 10:49:44,14.1
02/05/2024 10:59:44,14.4
02/05/2024 11:09:43,14
02/05/2024 11:19:42,17
02/05/2024 11:29:42,16.3
02/05/2024 11:39:42,16.5
02/05/2024 11:49:41,16.6
02/05/2024 11:59:41,16.7
02/05/2024 12:09:40,16.3
02/05/2024 12:19:40,16.2
02/05/2024 12:29:40,14.7
02/05/2024 12:39:39,17.4
02/05/2024 12:49:39,17.5
02/05/2024 12:59:39,14.4
02/05/2024 13:09:38,16.4
02/05/2024 13:19:38,16.1
02/05/2024 13:29:38,15.4
02/05/2024 13:39:36,16.8
02/05/2024 13:49:36,17
02/05/2024 13:59:35,17.3
02/05/2024 14:09:35,17.1
02/05/2024 14:19:34,16.8
02/05/2024 14:29:34,17.2
02/05/2024 14:39:34,16.8
02/05/2024 14:49:33,16.6
